User ID,Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
30,Stephen Perkins,julie52@example.com,julie52,16-09-1976,Female,West James,31-01-2024,30-01-2025,Monthly,Amex,Manual,Regular,Books,Action,Smart TV,Medium,4.8,9
31,Christopher Davis,urobinson@example.net,urobinson,19-09-1955,Male,Randallton,25-02-2024,24-02-2025,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Low,4.6,10
32,Rodney Jones,zfrost@example.net,zfrost,14-10-1967,Female,Port Kimberly,03-01-2024,02-01-2025,Monthly,Mastercard,Manual,Occasional,Electronics,Horror,Tablet,Low,4.2,9
33,Cheryl Johnson,louis25@example.com,louis25,28-03-1995,Male,Lisaton,22-01-2024,21-01-2025,Monthly,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,Low,4.3,4
34,Whitney Underwood,ujones@example.com,ujones,23-07-2002,Female,New Jenniferport,30-03-2024,30-03-2025,Annual,Mastercard,Auto-renew,Regular,Electronics,Horror,Smartphone,Low,4.5,10
35,Cheryl Bradley,jesseforbes@example.org,jesseforbes,11-05-1933,Male,New Jason,05-04-2024,05-04-2025,Annual,Mastercard,Manual,Occasional,Electronics,Action,Smartphone,Low,3.8,6
36,Carrie Smith,scottjohn@example.com,scottjohn,03-07-1991,Female,Clineshire,17-01-2024,16-01-2025,Monthly,Mastercard,Manual,Occasional,Books,Comedy,Tablet,High,4.8,10
37,Ryan Nunez,silvamichael@example.org,silvamichael,26-10-1944,Female,Jacquelinefurt,16-02-2024,15-02-2025,Monthly,Visa,Auto-renew,Frequent,Books,Horror,Smart TV,Medium,4.1,6
38,John Wood,maxwellanthony@example.net,maxwellanthony,23-07-1975,Female,North Jerry,23-01-2024,22-01-2025,Annual,Amex,Manual,Frequent,Clothing,Romance,Tablet,Medium,4.5,7
39,Rachel Holmes,maryjones@example.com,maryjones,06-07-1955,Female,Port Benjaminfort,25-03-2024,25-03-2025,Monthly,Visa,Auto-renew,Occasional,Electronics,Documentary,Tablet,High,3.2,8
40,Terry Powell,reyesjennifer@example.com,reyesjennifer,19-03-1981,Female,Port Danielle,04-02-2024,03-02-2025,Annual,Visa,Auto-renew,Occasional,Clothing,Documentary,Tablet,Low,4.2,5
41,Mark Hernandez,william81@example.com,william81,07-03-1975,Male,Port Jillianbury,18-03-2024,18-03-2025,Monthly,Visa,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Medium,4.6,8
42,Angela Hall,laura84@example.org,laura84,14-06-1962,Female,Sherrybury,21-03-2024,21-03-2025,Monthly,Amex,Auto-renew,Occasional,Electronics,Comedy,Tablet,High,4.4,2
43,Laura Griffith,michelle48@example.net,michelle48,09-01-2001,Female,Port Charleschester,19-03-2024,19-03-2025,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,Medium,3.6,9
44,Anita Calhoun MD,ashley86@example.com,ashley86,27-08-1945,Male,New Brandy,14-03-2024,14-03-2025,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Medium,4.8,6
45,Shannon Clark,traci17@example.net,traci17,20-08-1943,Male,East Aaronburgh,14-03-2024,14-03-2025,Monthly,Amex,Manual,Frequent,Books,Horror,Smartphone,Low,5,6
46,Geoffrey Garcia,benjamin76@example.org,benjamin76,31-10-1993,Male,Jamesview,03-02-2024,02-02-2025,Annual,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Smart TV,Medium,3.9,5
47,Jeffery Maxwell,debra51@example.org,debra51,13-04-1953,Female,Davisfort,21-02-2024,20-02-2025,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,Low,3.6,7
48,Robert Lloyd,bradleypatrick@example.org,bradleypatrick,15-03-1985,Male,West Tanya,09-03-2024,09-03-2025,Monthly,Mastercard,Manual,Occasional,Electronics,Romance,Smartphone,Low,4.3,2
49,Melissa Wells,luis09@example.net,luis09,27-07-1950,Female,South Kylestad,09-03-2024,09-03-2025,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Horror,Smart TV,Low,3.1,8
50,Antonio Jackson,jrandall@example.org,jrandall,23-07-1965,Female,East Marcusberg,24-03-2024,24-03-2025,Annual,Visa,Manual,Occasional,Books,Sci-Fi,Tablet,High,4.5,9
51,John Smith,dhuffman@example.net,dhuffman,21-12-1990,Male,New Nicoleport,28-01-2024,27-01-2025,Monthly,Visa,Manual,Occasional,Electronics,Drama,Smart TV,High,3.9,8
52,Jeremy Lyons,richardsmicheal@example.com,richardsmicheal,05-11-1976,Male,North Stephen,02-02-2024,01-02-2025,Annual,Amex,Manual,Frequent,Clothing,Horror,Smartphone,High,3.9,0
53,Cathy Harrington,kellygibson@example.org,kellygibson,21-03-1942,Male,Lake Wendyland,14-04-2024,14-04-2025,Monthly,Mastercard,Manual,Occasional,Clothing,Drama,Smartphone,Low,4.9,8
54,Lisa Bauer,allison13@example.org,allison13,26-10-1964,Male,Michaelfort,28-01-2024,27-01-2025,Annual,Amex,Manual,Occasional,Electronics,Comedy,Smart TV,High,3.6,5
55,Margaret Cooper,fbradley@example.org,fbradley,19-02-1964,Female,Lake Samantha,13-03-2024,13-03-2025,Annual,Visa,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.9,3
56,Robert Browning,lorettashelton@example.net,lorettashelton,09-11-1973,Female,East Charles,03-02-2024,02-02-2025,Annual,Mastercard,Auto-renew,Regular,Electronics,Sci-Fi,Smartphone,High,3.6,6
57,Amanda Williams DVM,reginald05@example.org,reginald05,27-03-1953,Female,Bowmanland,02-01-2024,01-01-2025,Monthly,Visa,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Medium,3,2
58,William Clark,michael86@example.com,michael86,19-05-1961,Male,New Thomasville,01-04-2024,01-04-2025,Monthly,Amex,Auto-renew,Occasional,Books,Drama,Tablet,Low,4.5,10
59,Julie Dean,hduffy@example.org,hduffy,09-03-2003,Female,Port Olivia,07-04-2024,07-04-2025,Monthly,Mastercard,Auto-renew,Frequent,Books,Comedy,Smart TV,High,3.5,10
60,Neil Allen,hamiltonkeith@example.org,hamiltonkeith,05-09-1968,Female,Port Lauramouth,11-04-2024,11-04-2025,Annual,Mastercard,Auto-renew,Occasional,Books,Action,Smartphone,Low,3.7,9
61,Nicole Hunter,wendy13@example.com,wendy13,24-09-1953,Female,Smithborough,15-02-2024,14-02-2025,Monthly,Amex,Auto-renew,Occasional,Books,Comedy,Smart TV,Medium,3.9,4
62,Susan Hurst,jessicaespinoza@example.com,jessicaespinoza,15-10-1991,Female,Phillipsfurt,06-03-2024,06-03-2025,Annual,Visa,Manual,Occasional,Clothing,Romance,Smart TV,High,4.6,10
63,Megan Bates,douglas02@example.net,douglas02,17-08-1981,Female,Harrisshire,09-01-2024,08-01-2025,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.8,3
64,Kristen Rowe,bcollins@example.org,bcollins,10-06-1974,Male,South Williammouth,09-03-2024,09-03-2025,Monthly,Mastercard,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Low,3.6,4
65,Jessica Flores,aguilarjohn@example.net,aguilarjohn,30-06-1948,Female,New Jonathan,17-01-2024,16-01-2025,Monthly,Amex,Manual,Frequent,Electronics,Comedy,Smartphone,Low,4.5,6
66,Elizabeth Taylor,desiree88@example.com,desiree88,13-07-1973,Female,Jennaburgh,29-03-2024,29-03-2025,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.6,10
67,Ronald Brooks MD,arodriguez@example.net,arodriguez,07-04-2004,Female,Jonathanburgh,01-02-2024,31-01-2025,Annual,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,High,3,9
68,Sonya Obrien,larry78@example.org,larry78,17-02-1946,Female,Jessicaborough,19-03-2024,19-03-2025,Annual,Visa,Manual,Frequent,Electronics,Sci-Fi,Smart TV,Low,3.4,0
69,Tracy Koch,timothy25@example.net,timothy25,03-08-1947,Female,Kristenton,09-04-2024,09-04-2025,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,4.7,9
70,Kendra Brooks DVM,obray@example.net,obray,29-01-1937,Male,Garzafort,21-01-2024,20-01-2025,Monthly,Amex,Manual,Regular,Clothing,Action,Smartphone,Low,3.2,2
71,Janice Oliver,bethany83@example.net,bethany83,02-12-1988,Male,South Leslie,27-02-2024,26-02-2025,Monthly,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,Low,4.1,5
72,Jennifer Shields,aanderson@example.org,aanderson,07-10-2004,Male,Williamport,03-03-2024,03-03-2025,Annual,Mastercard,Auto-renew,Regular,Electronics,Drama,Smartphone,High,3.1,7
73,Diana Dillon,diane28@example.com,diane28,21-04-1981,Male,South Beverlyton,30-01-2024,29-01-2025,Monthly,Visa,Auto-renew,Regular,Electronics,Drama,Smartphone,Medium,3.5,4
74,David Mata,cheyennewilson@example.net,cheyennewilson,12-08-1967,Male,Lake Rebecca,08-04-2024,08-04-2025,Annual,Amex,Manual,Frequent,Electronics,Drama,Tablet,Low,4.8,9
75,Megan Vaughan,walkersusan@example.net,walkersusan,23-02-1938,Female,Tinaberg,03-02-2024,02-02-2025,Annual,Visa,Manual,Frequent,Books,Horror,Tablet,Medium,3.3,0
76,Kelsey Diaz,jamesstevens@example.com,jamesstevens,29-06-1992,Female,Wongview,07-02-2024,06-02-2025,Annual,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Smart TV,Low,4.4,5
77,Jimmy Parker,shannon08@example.org,shannon08,15-05-1967,Female,Ramseymouth,18-02-2024,17-02-2025,Monthly,Mastercard,Manual,Regular,Books,Documentary,Smart TV,Medium,4.9,10
78,Perry Fry,lucas69@example.com,lucas69,10-12-1993,Female,Port Jasonville,10-03-2024,10-03-2025,Monthly,Visa,Manual,Regular,Clothing,Drama,Smartphone,Low,3.8,10
79,Evelyn Williams,john77@example.org,john77,03-08-1942,Male,Port Nicholas,18-03-2024,18-03-2025,Monthly,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Tablet,Low,4.1,10
80,Julie Sanchez,bakerzachary@example.net,bakerzachary,11-12-1994,Female,Michaelberg,29-01-2024,28-01-2025,Annual,Visa,Manual,Regular,Electronics,Comedy,Smartphone,Low,3.4,6
81,Joseph Davis,greenelisa@example.com,greenelisa,12-10-1933,Male,Martinezfort,07-01-2024,06-01-2025,Monthly,Mastercard,Manual,Frequent,Clothing,Action,Smart TV,Low,3.3,3
82,Monique Rodriguez,rrhodes@example.com,rrhodes,03-05-1940,Male,West Connorport,20-03-2024,20-03-2025,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Smartphone,High,3.6,9
83,Thomas Davis,brendasmith@example.com,brendasmith,01-12-1938,Female,Carsonhaven,29-02-2024,28-02-2025,Annual,Visa,Auto-renew,Regular,Electronics,Romance,Smartphone,High,3.1,5
84,Christopher Dickerson,wgregory@example.com,wgregory,05-05-1992,Female,Troytown,15-01-2024,14-01-2025,Monthly,Amex,Auto-renew,Occasional,Books,Action,Smart TV,High,3.2,4
85,Keith Baker,ujones@example.com,ujones,11-07-1972,Female,Langton,03-02-2024,02-02-2025,Annual,Amex,Manual,Occasional,Clothing,Horror,Smartphone,Medium,3,1
86,Ashley Cortez,lisa59@example.net,lisa59,13-06-1948,Female,Charlesfurt,23-02-2024,22-02-2025,Annual,Visa,Manual,Frequent,Books,Action,Smart TV,Low,3.9,3
87,Tammy Ward,shannon33@example.com,shannon33,16-03-1974,Female,Lake Stephanieside,28-01-2024,27-01-2025,Annual,Mastercard,Auto-renew,Frequent,Books,Horror,Smart TV,Low,4.8,4
88,Mary Fernandez,richardsjimmy@example.com,richardsjimmy,27-04-1990,Male,Melissamouth,10-02-2024,09-02-2025,Monthly,Amex,Manual,Regular,Books,Romance,Smart TV,Low,4.4,2
89,Gilbert Brown,ashleytate@example.net,ashleytate,24-03-1984,Male,Amyborough,27-02-2024,26-02-2025,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smart TV,Low,4,2
90,Vanessa Lutz,harriscameron@example.org,harriscameron,13-11-1951,Female,North Michelleburgh,11-02-2024,10-02-2025,Monthly,Mastercard,Manual,Regular,Electronics,Action,Tablet,Medium,4.7,3
91,Jenna Pham,marybeltran@example.org,marybeltran,15-08-1937,Male,Harryland,13-01-2024,12-01-2025,Monthly,Mastercard,Auto-renew,Occasional,Books,Drama,Tablet,High,3.4,9
92,Alicia Williams,xpierce@example.org,xpierce,20-06-1991,Male,Lindseyland,22-02-2024,21-02-2025,Monthly,Amex,Manual,Frequent,Books,Comedy,Tablet,Medium,4.2,2
93,Laura Saunders,sara71@example.net,sara71,21-02-1945,Male,Kevinchester,13-02-2024,12-02-2025,Annual,Mastercard,Manual,Occasional,Books,Drama,Tablet,Medium,3.9,3
94,Connor Morris,umiller@example.org,umiller,04-03-1981,Female,North Melissaville,08-02-2024,07-02-2025,Annual,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,High,3.9,4
95,Shannon Farmer,coffeyparker@example.org,coffeyparker,15-12-1958,Female,Justinchester,03-02-2024,02-02-2025,Annual,Mastercard,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.6,6
96,Mackenzie Harris,andersonemily@example.net,andersonemily,06-11-1963,Female,Lake Barryland,01-03-2024,01-03-2025,Annual,Mastercard,Auto-renew,Regular,Clothing,Action,Smartphone,Medium,3.2,9
97,Stephanie Potter,heather10@example.org,heather10,05-05-1958,Female,New Teresaburgh,25-03-2024,25-03-2025,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.7,3
98,Mitchell Potter,fsanchez@example.net,fsanchez,27-08-1979,Male,South Katieburgh,27-01-2024,26-01-2025,Annual,Visa,Manual,Regular,Books,Documentary,Tablet,High,4.7,4
99,Jonathan Rodriguez,nichole85@example.net,nichole85,20-12-1967,Male,East Shannonhaven,29-02-2024,28-02-2025,Monthly,Visa,Auto-renew,Occasional,Clothing,Action,Smart TV,Medium,4.7,7
100,Jennifer Davis,zunigashelly@example.org,zunigashelly,15-01-1950,Female,West Nathanielton,14-02-2024,13-02-2025,Annual,Mastercard,Auto-renew,Regular,Books,Drama,Smart TV,Low,4.5,5
101,Darlene Gutierrez,perkinsmary@example.org,perkinsmary,20-09-1956,Male,North Kristenbury,19-01-2024,18-01-2025,Monthly,Amex,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Low,4.7,1
102,Paula Perez,trevorwelch@example.net,trevorwelch,12-03-2003,Female,Dicksonmouth,12-04-2024,12-04-2025,Annual,Amex,Manual,Regular,Books,Sci-Fi,Tablet,Low,3.5,3
103,Jaime Edwards,aguirrejoshua@example.com,aguirrejoshua,27-11-1990,Male,Bennettmouth,08-04-2024,08-04-2025,Annual,Amex,Manual,Occasional,Electronics,Horror,Tablet,Low,3,2
104,Sherry Salinas,roachmegan@example.org,roachmegan,27-03-1998,Male,New Markview,04-04-2024,04-04-2025,Annual,Amex,Manual,Occasional,Clothing,Action,Smart TV,High,3.1,8
105,Paul Harris,ashley27@example.com,ashley27,09-05-1958,Male,West Robinborough,07-01-2024,06-01-2025,Monthly,Amex,Manual,Frequent,Books,Drama,Smart TV,Low,3.3,0
106,James Williams,rlove@example.org,rlove,14-10-1973,Male,West Robert,13-02-2024,12-02-2025,Annual,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smartphone,High,3.4,10
107,Alan Oneal,mbarker@example.net,mbarker,23-02-1949,Female,South Amy,14-02-2024,13-02-2025,Annual,Mastercard,Manual,Frequent,Clothing,Documentary,Tablet,Low,3.3,7
108,Grant Jensen,tyler29@example.com,tyler29,10-07-1944,Female,East Mark,11-04-2024,11-04-2025,Monthly,Amex,Manual,Regular,Clothing,Action,Tablet,Medium,3.2,7
109,Traci Arellano,uwolfe@example.org,uwolfe,15-02-1974,Male,Leeshire,24-01-2024,23-01-2025,Annual,Visa,Auto-renew,Occasional,Clothing,Horror,Tablet,Medium,3.2,2
110,Richard Ramsey,akemp@example.org,akemp,12-01-1982,Male,West Joan,15-01-2024,14-01-2025,Monthly,Amex,Manual,Occasional,Clothing,Sci-Fi,Tablet,Medium,4.9,0
111,Maria Lawrence,foxshelia@example.org,foxshelia,24-10-1953,Male,Johnton,27-02-2024,26-02-2025,Annual,Amex,Manual,Regular,Electronics,Drama,Smartphone,High,3.4,7
112,Regina Ramsey,susan84@example.com,susan84,29-05-1982,Female,Clarkville,17-02-2024,16-02-2025,Annual,Visa,Manual,Frequent,Clothing,Horror,Tablet,Medium,4.1,2
113,Lisa Reese,nataliereynolds@example.org,nataliereynolds,13-01-1989,Male,Collinsmouth,22-01-2024,21-01-2025,Monthly,Visa,Auto-renew,Frequent,Clothing,Sci-Fi,Smart TV,Medium,4.9,3
114,Bruce Pennington,angela32@example.com,angela32,01-12-1967,Male,South Sharonhaven,06-02-2024,05-02-2025,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,3.4,9
115,Jessica Barker,henryjennifer@example.org,henryjennifer,03-08-1981,Female,New Robert,12-04-2024,12-04-2025,Monthly,Visa,Manual,Occasional,Clothing,Horror,Smartphone,Medium,4.4,4
116,Alexis Vasquez,griffinbarbara@example.com,griffinbarbara,20-07-1980,Female,Wellsstad,07-04-2024,07-04-2025,Monthly,Mastercard,Auto-renew,Regular,Clothing,Action,Tablet,Low,3.8,3
117,Rebecca Lucero,martindakota@example.com,martindakota,15-02-1979,Female,Sullivantown,29-03-2024,29-03-2025,Annual,Mastercard,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.5,6
118,Mary Phillips,gregorymills@example.org,gregorymills,08-02-1945,Female,Hortonview,31-01-2024,30-01-2025,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.6,0
119,Dustin James,tiffany46@example.org,tiffany46,13-10-1937,Female,Johnsonmouth,14-01-2024,13-01-2025,Annual,Mastercard,Auto-renew,Regular,Books,Comedy,Smartphone,Medium,4.5,7
120,Robert Williams,tstephens@example.com,tstephens,22-09-1990,Female,North Margaret,07-01-2024,06-01-2025,Annual,Amex,Auto-renew,Frequent,Electronics,Action,Smart TV,High,4.1,3
121,Lisa Washington,dbailey@example.net,dbailey,03-11-1991,Male,East Charlotte,02-03-2024,02-03-2025,Annual,Visa,Manual,Frequent,Books,Drama,Smartphone,High,4.2,2
122,Brian French,stephenwilliams@example.net,stephenwilliams,19-06-1968,Male,Alisonfort,15-03-2024,15-03-2025,Monthly,Visa,Manual,Occasional,Electronics,Romance,Smartphone,Low,3.3,7
123,Elizabeth Flores,zstewart@example.net,zstewart,11-03-1936,Female,Brandifurt,12-01-2024,11-01-2025,Annual,Amex,Auto-renew,Regular,Books,Drama,Smart TV,High,3.2,2
124,Melissa Crawford,kelleybenjamin@example.org,kelleybenjamin,19-05-1947,Male,Garciaview,02-01-2024,01-01-2025,Annual,Amex,Auto-renew,Regular,Electronics,Sci-Fi,Tablet,Low,4.7,8
125,Antonio Juarez,christopherjones@example.org,christopherjones,24-06-1990,Male,Byrdside,25-01-2024,24-01-2025,Annual,Visa,Manual,Frequent,Electronics,Drama,Tablet,Medium,4.6,2
126,Robert Wilson DDS,tiffany69@example.net,tiffany69,09-05-1985,Male,New Cherylhaven,05-04-2024,05-04-2025,Annual,Visa,Manual,Regular,Electronics,Horror,Tablet,Low,4.9,7
127,Christopher Clay,stanleynathan@example.org,stanleynathan,10-07-2005,Female,East Christophertown,26-03-2024,26-03-2025,Annual,Mastercard,Auto-renew,Frequent,Clothing,Romance,Smart TV,Low,3.2,10
128,Ashley Jenkins,apope@example.com,apope,19-06-1985,Male,Lake Jacobport,09-04-2024,09-04-2025,Monthly,Visa,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.4,9
129,Charles Stafford,scott67@example.net,scott67,05-10-1991,Male,Michaelmouth,14-04-2024,14-04-2025,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Tablet,High,4.6,6
130,Jordan Jackson,ubrown@example.org,ubrown,28-09-1953,Female,Lake Amystad,05-01-2024,04-01-2025,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Tablet,Medium,4.4,3
131,Christine Wright,gmoore@example.com,gmoore,04-02-1972,Male,Lunahaven,20-01-2024,19-01-2025,Monthly,Mastercard,Manual,Occasional,Clothing,Comedy,Smart TV,High,3.1,10
132,Penny Jones,kgreen@example.com,kgreen,15-08-1969,Female,Port Deanland,22-01-2024,21-01-2025,Annual,Amex,Manual,Occasional,Electronics,Comedy,Tablet,Medium,3.4,1
133,Thomas Simon,kelliolson@example.org,kelliolson,17-08-1947,Male,East Lawrenceburgh,21-03-2024,21-03-2025,Monthly,Mastercard,Manual,Occasional,Clothing,Action,Smartphone,Medium,4.9,3
134,Jamie Mitchell,gamblejulie@example.net,gamblejulie,23-02-1986,Female,Nicholashaven,05-01-2024,04-01-2025,Monthly,Visa,Auto-renew,Frequent,Electronics,Horror,Smart TV,Medium,4.5,6
135,Lauren Harris,tbriggs@example.org,tbriggs,18-06-2004,Male,Nicholasburgh,09-01-2024,08-01-2025,Monthly,Mastercard,Auto-renew,Frequent,Books,Documentary,Smart TV,Medium,4.3,7
136,Laura Martin,colelong@example.com,colelong,01-01-1964,Female,Adamfort,08-04-2024,08-04-2025,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Smart TV,High,3.5,2
137,Mark Snyder,deanwiley@example.org,deanwiley,08-03-1954,Male,Brianview,11-04-2024,11-04-2025,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smart TV,Low,3.5,4
138,Jesus Brown,zlee@example.net,zlee,03-12-1958,Female,South Dave,24-03-2024,24-03-2025,Annual,Amex,Manual,Occasional,Electronics,Documentary,Tablet,Medium,3,4
